Lot Number,Sale Number,Url,Title,Current Price,Current # Bids,Current # Watchers,# Page Views,Time Left
16222,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16222,"Mobile Fighter G Gundam Episode 49 Domon Kasshu, Rain Mikamura, and God Gundam Production Cel Setup with Master Background and Animation Drawing (Sunrise, 1995).",36,3,33,345,23h 22m 14s
16223,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16223,"Mobile Suit Gundam Wing Project 03 Relena Darlian and Heero Yuy Cover Publicity Hanken Cel and Manga Volume (Sunrise/Carrot Publishing, 1996).",25,3,21,38,23h 22m 7s
16224,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16224,"Gundam Wing: Endless Waltz XXXG-01S2 Altron Gundam Production Cel with Production Background (Sunrise, 1997).",36,3,32,68,23h 22m 1s
16225,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16225,"Urusei Yatsura Episode 1 Lum Invader Production Cel (Kitty Films, c. 1981-86).",440,22,33,110,23h 21m 55s
16226,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16226,"Dirty Pair ""Criados' Heartbeat!"" Kei Production Cel with Key Master Background (Sunrise, 1985).",0,0,7,30,23h 21m 49s
16227,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16227,"Lupin III: The Legend of the Gold of Babylon Lupin Production Cel and Animation Drawing (Tokyo Movie Shinsha, 1985).",52,3,43,110,23h 21m 42s
16228,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16228,"Angel's Egg Production Cel (Studio Deen, 1985).",1,1,20,76,23h 21m 36s
16229,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16229,"Gunbuster Episode 6 Production Cel and Animation Drawing (Gainax, 1988).",3,2,26,173,23h 21m 30s
16230,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16230,"Saint Seiya: Legend of Crimson Youth Pegasus Seiya Production Cel and Animation Drawing Group of 11 (Toei Animation, 1988).",72,4,29,99,23h 21m 24s
16231,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16231,"Bubblegum Crisis ""Moonlight Rambler"" Sylvie and Anri Production Cel (Artmic, 1988).",0,0,12,49,23h 21m 18s
